school_name,address,Latitude,Longitude,postal_code,telephone_no,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,dgp_code,zone_code
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS,1.4004367,103.9076926,828869,63126091,edgefield_ps@moe.edu.sg,Punggol MRT,"3, 34, 62, 82, 83, 136",MR MICHEL SAW MUN SEONG,MR LOW KAH HENG THOMAS,MDM FAZILAH MARICAR D/O MD ALI M,PUNGGOL,NORTH
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD,1.3998105,103.9021646,828814,68839511,edgefield_ss@moe.edu.sg,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",MR LEE PECK PING,MDM LIM PUAY KHENG,MR BENSON TEO HONG GUAN,PUNGGOL,NORTH
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains,1.3962652,103.9127224,828848,68861413,greendale_ps@moe.edu.sg,Punggol LRT: Coral Edge,"3,62, 83, 85, 386",MDM NG SOH HUA,MDM SEING JEE CHING JASMINE,MR TAN SIAN YEOW TERENCE,PUNGGOL,NORTH
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS,1.396986,103.9117179,828866,63158616,greendale_ss@moe.edu.sg,"PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386",MISS NG AMY,MR LOH CHIH HUI,MRS ANNE CHAN,PUNGGOL,NORTH
HORIZON PRIMARY SCHOOL,61 Edgedale Plains,1.3998175,103.9131302,828819,67535411,horizon_ps@moe.edu.sg,Punggol MRT Station (NE17) (LRT: Kadaloor [PE5] or Oasis [PE6]),"3, 50, 83, 85, 569",MDM GRACE HO LI JUN,MR OW EU GENE JOHN,MDM SENTHIL POONKODI D/O R K,PUNGGOL,NORTH
MEE TOH SCHOOL,21 EDGEDALE PLAINS,1.3947729,103.9089333,828867,64893326,MEETOH_SCH@MOE.EDU.SG,Punggol Station,"3,62,83",MDM TAN SUN SUN,MDM TAN LAY WAH,MR LEE CHONG TART RONALD,PUNGGOL,NORTH
NORTHSHORE PRIMARY SCHOOL,30 Northshore Drive,1.4185687,103.9061276,828671,62026490,northhshore_ps@moe.edu.sg,Puggol Point LRT Station,"84, 384",MDM LEE YEN PING CHRISTINE,MDM GAN SER MIN,NULL,PUNGGOL,EAST
OASIS PRIMARY SCHOOL,71 Edgefield Plains,1.404288,103.9109619,828716,6320 9855,oasis_ps@moe.edu.sg,Damai LRT Station,"50, 386",MRS ONG-CHEW LU SEE,MDM NG YIN SZE JOSEPHINE,MDM CHUT SHI LIN,PUNGGOL,EAST
PUNGGOL COVE PRIMARY SCHOOL,52 Sumang Walk,1.4121445,103.8985858,828674,63857339,punggolcove_ps@moe.edu.sg,Nibong LRT Station,"382W, 84","MR YAP SWEE BENG, DENNIS",MISS THIA HWEI LING SHARON,MR WAN IMRAN BIN MOHAMED WOOJDY,PUNGGOL,EAST
PUNGGOL GREEN PRIMARY SCHOOL,98 Punggol Walk,1.4019576,103.8986304,828772,65383011,admin_punggolgreen_ps@moe.edu.sg,Punggol MRT Station,na,MR HANAFI B ASMORE,MISS TAN HUILING CHERYL,DR LEE KOK SONK,PUNGGOL,EAST
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS,1.4020943,103.9094082,828870,64897851,PUNGGOL_SS@MOE.EDU.SG,"PUNGGOL MRT, COVE LRT","3, 34, 62, 82, 83, 85, 136, 965, 386",MS TOH ENG BENG ANGELINE,MR ANITH KUMAR S/O NADESAN,MR VINCENT LEE WEI YEE,PUNGGOL,NORTH
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place,1.4052725,103.9051829,828845,6570 1588,punggolview_ps@moe.edu.sg,Punggol MRT Station,50 382,DR ANG WEK CHENG,MDM SHARIFAH SAMIRAH BTE SYED MOHAMAD,MR GOH ZENSEN,PUNGGOL,EAST
VALOUR PRIMARY SCHOOL,49 Punggol Central,1.4065305,103.8994449,828728,62426390,valour_ps@moe.edu.sg,na,na,MRS CHARIS WONG,MDM TAN PIN PIN,NULL,PUNGGOL,EAST
WATERWAY PRIMARY SCHOOL,70 Punggol Drive,1.3992346,103.9186134,828802,6636 6880,waterway_ps@moe.edu.sg,Kadaloor LRT Station,"50, 381",MRS WEE KWAN LIAM,MDM CHUA KIM LAN JUDY,NULL,PUNGGOL,EAST
